Context,Question,Answer
"[1] 적법성을 승인하면서 조건부 규제를 적용했던 것이다.
[2] 일몰을 우선 적용토록 하고 예외적으로 재검토형 일몰을 설정토록 하였습니다. 또한 소상공인·소기업은 규제 도입 시점부터 3년간 규제면제 및 규제부담 경감 방안을 강구토록 하여 규제비용부담의 형평성을 높였습니다.
[3] 특례 등이 외국인투자기업에게만 한정되어 있어 국내기업에 대한 역차별 문제도 제기되고 있음◦ 자유무역지역과 경제자유구역은 일정조건을 갖춘 국내기업도 입주할 수 있음에도 불구하고 의무고용 배제, 수도권 규제완화, 부담금 감면 등의 규제특례는 외국인투자기업에 국한되어 적용됨◦ 또한 세 경제특구 모두 지방세 감면제도가 외국인투자기업에 한정되어 적용됨- 법인세와 소득세 감면은 2018년 「조세특례제한법」 개정(2018.12.24.)으로 2019년에 폐지
[4] 있지만 최소한 기업인수·합병 등에 활용되는 Buyout펀드에 대하여는 기존의 규제를 완화하고자 한 것이다.
[5] 장애가 될 수 있는 민법상의 시효제도를 적어도 경제특구에서는 그 적용을 배제하도록 법을 개정하는 것이 외국인 투자유치에 유리할 것이라고 생각한다.",무엇은 외국인의 투자를 촉진하기 위해 예외적으로 제한을 완화하여 특례를 정했니,외국인투자 촉진법 제13조제1항
"[1] 정부는 신기후체제 출범에 효과적으로 대응하고 이를 우리나라 경제의 새로운 기회로 활용하기 위해 ‘2030 에너지 신산업 확산전략(2015.11월)’ 을 수립·발표했다. 동 전략에서는 에너지 프로슈머를 4대 미래 에너지 트렌드 중 하나로 제시하고 이에 대한 정책 방향을 담고 있다. 에너지 프로슈머의 주요 내용으로는 소규모 신재생에너지, ICT 기술 등을 활용하여 누구나 직접 전기를 생산, 소비, 판매가 가능한 신산업을 제시했다. 정부는 에너지 프로슈머 전력 시장을 개설해 개인이 생산한 소규모 전력이나 남은 전력을 팔 수 있게 허용함으로써 에너지 프로슈머의 시장 참여를 촉진하겠다고 밝혔다. 또한, 2030년까지 에너지 프로슈머 사업을 전국적으로 확산하겠다는 목표를 설정했다. 2016년 2월 산업통상자원부 고시 개정을 통해 이웃 간 전력거래를 신설하고 2016년 3월 ‘프로슈머 이웃 간 전력거래’ 실증사업을 실시했다.
[2] 기본계획에서는 2035년까지 발전 비중에서 신재생에너지 부문을 이는 앞으로 국내 전력공급시스템의 전원믹스에서 신재생에너지 부문이 증가하게 되고 현재 시스템을 구성하는 발전소 종류가 다양화됨을 의미한다.
[3] 저탄소경제에서 에너지시스템은 신재생에너지 및 전력저장장치의 투자비 하락, 제4차 산업혁명의 기술적 요소 등을 활용함으로써 분산형 전원의 비중 확대, 신재생에너지의 빠른 보급 확대, 에너지소비자의 프로슈머화 등이 예상된다. 원자력발전은 온실가스 감축에는 유용하지만, 신재생에너지가 빠르게 확대되면 지속가능성의 관점에서 우선순위가 뒤로 밀리게 될 것이다. 저탄소경제의 개념이 지속가능발전에 뿌리를 두고 있음을 유념할 필요가 있다. 에너지 소비차원에서는 스마트미터기 및 사물인터넷 등을 통해 에너지 소비를 최적화할 것이다. 건물, 공장, 교통 시스템 등에서 에너지 소비의 스마트화가 이루어져 에너지 사용의 최적화가 이루어 질 것이다. 본 연구는 시기적절하다고 할 수 있는데, 한국 정부는 파리기후협정의 권고에 따라 2050년 저탄소발전전략(midcentury low greenhouse gas emission development strategies: LEDS)을 작성하여 2020년까지 UNFCCC 사무국에 제출할
[4] 디지털 전환(digital transformation)을 통해 국가 총 소비전력의 획기적 절감, 데이터 기반의 에너지 전문기업 성장 및 일자리 창출이 촉진될 것이라고 말했다.④ 로렌스 오시니 LO3에너지 대표는 현재의 에너지 공급망으로는 전기차, 태양광/풍력 등 분산 에너지원 수용이 어렵다고 지적하며, 안전하고 안정적인 방식으로 에너지데이터를 표준화/수익화할 수 있는 국제 에너지 플랫폼 구상에 대해 설명했다.
[5] 저탄소경제에서 에너지시스템은 신재생에너지 및 전력저장장치의 투자비 하락, 제4차 산업혁명의 기술적 요소 등을 활용함으로써 분산형 전원의 비중 확대, 신재생에너지의 빠른 보급 확대, 에너지소비자의 프로슈머화 등이 예상된다. 원자력발전은 온실가스 감축에는 매우 유용하지만, 신재생에너지가 빠르게 확대되면 지속가능성의 관점에서 우선순위가 뒤로 밀리게 될 것이다. 저탄소경제의 개념이 지속가능발전에 뿌리를 두고 있음을 유념할 필요가 있다. 에너지 소비차원에서는 스마트미터기 및 사물인터넷 등을 통해 에너지 소비를 최적화할 것이다. 건물, 공장, 교통 시스템 등에서 에너지 소비의 스마트화가 이루어져 에너지 사용의 최적화가 이루어 질 것이다. 2050년 온실가스 감축목표에 대해서는 두 가지 측면에서 추가적인 설명이 필요하다. 첫 번째는 2050년 온실가스 배출량 목표의 성격이다. 현재부터 2050년까지는 경제·사회적으로도 많은 불확실성이 존재하며, 기후과학 및 전지구적 탄소총허용량(Carbon Budget) 등에서도",한국은 빠르게 성장하는 에너지저장장치 산업의 본격적인 민간중심 시장확산을 어떻게 이끌려고 할까,정부와 ESS 관련기업·기관이 모두 참여하는 ‘ESS 융합 얼라이언스’를 결성
"[1] 정부는 정보통신기술의 고도화, 민간영역 참여 확대, 소통요구 및 네트워크 확대 등에 대응하여 정보통신기술 기반의 다양한 전략 및 정책을 통한 정부 혁신 작업을 시도하고 있다. 이제 국민은 정부의 서비스를 일방적으로 기다리는 것이 아니라 적극적인 수요자로서 서비스의 생산을 담당하는 주체가 되고 있다. 지자체들은 각 기관의 인터넷 홈페이지에 국민의 의견을 들을 수 있는 전자민원창구를 마련하였다. 그러나 국민은 자신의 문제를 해결해 줄 수 있는 담당기관이 어디인지를 알아내어 그 기관의 창구를 찾아가 등록을 해야 하는 등 번거로운 절차를 거쳐야만 했다. 민원신고 시에는 생활 속 불편사항이 발생한 위치와 상황 등을 글로 설명해야 했기 때문에, 담당공무원은 더 정확한 상황파악과 민원처리를 위해 국민에게 다시 연락을 하여 정확한 위치 등 상세 내용을 재확인해야 하는 일이 빈번하였다. 또한 불편사항 처리 경과 및 결과가 우편이나 웹 사이트 등으로 이루어져서 처리결과를 확인하는 데에도 어려움을 겪었다. 이러한 복잡하고
[2] 정부는 정보통신기술의 고도화, 민간영역 참여 확대, 소통요구 및 네트워크 확대 등에 대응하여 정보통신기술 기반의 다양한 전략 및 정책을 통한 정부 혁신 작업을 시도하고 있다. 이제 국민은 정부의 서비스를 일방적으로 기다리는 것이 아니라 적극적인 수요자로서 서비스의 생산을 담당하는 주체가 되고 있다. 지자체들은 각 기관의 인터넷 홈페이지에 국민의 의견을 들을 수 있는 전자민원창구를 마련하였다. 그러나 국민은 자신의 문제를 해결해 줄 수 있는 담당기관이 어디인지를 알아내어 그 기관의 창구를 찾아가 등록을 해야 하는 등 번거로운 절차를 거쳐야만 했다. 민원신고 시에는 생활 속 불편사항이 발생한 위치와 상황 등을 글로써 설명해야 했기 때문에, 담당 공무원은 더 정확한 상황파악과 민원처리를 위해 국민에게 다시 연락을 하여 정확한 위치 등 상세 내용을 재확인해야 하는 일이 빈번하였다. 더불어 불편사항 처리에 대한 현황 및 결과가 우편이나 웹 사이트 등으로 이루어져서 처리결과 확인하는 데에도 어려움을 겪었다. 이러한
[3] 인터넷 민원은 전자정부를 통한 민원행정을 의미한다고 볼 수 있다. 전자민원은 현재 다양한 조직과 분야에서 수행되고 있으며, 현재 진행되고 있는 전자민원들은 과거 전통적 민원 사무에 비해 많은 부분 효율성을 개선한 것으로 평가받고 있다. 전자민원에 대한 설명은 전자정부 구현을 위한 행정업무 등의 전자화 촉진에 관한 법률 제2조 제7호의 규정에서 찾아볼 수 있음. 전자민원 처리 시스템의 정의는 ‘행정기관이 구축한 웹상에서 민간의 요구사항이 내부적 처리절차를 거쳐 민원인에게 전달되는 일련의 과정이 전자적으로 이루어지는 행정시스템’으로 정의할 수 있다. 그러나 전자민원은 단순히 민원의 접수, 처리, 결과 전달의 세 과정에만 영향을 미치는 것이 아니라, 민원서비스 처리단계에 있어서 사전준비단계, 사후관리 단계에까지 영향을 미침으로써 민원처리 단계의 확장을 가능하게 하고 있다.",유정복 장관은 정보화마을 주민들의 다양한 의견을 직접 수렴하기 위해 어떤 방법을 사용하였는가,마을정보센터·오이 하우스·배 과수원 등을 방문
"[1] 22일 서울 여의도 전국경제인연합회(전경련)에서 열린 고미타 고지 주한 일본대사 초청 조찬간담회에 참석한 한 기업인은 큰 아쉬움을 드러냈다.이날 권태신 전경련 부회장은 “한일 간 소재·부품·장비(소부장) 분업 체계가 제대로 작동하면 양국 제조업에서 창출되는 부가가치가 136조원에 달한다”며 “수출규제 완화하고 협력을 강화하는 게 양국 경제에 도움이 된다”고 강조했다. 일본 정부는 지난해 7월 한국의 소부장 산업을 겨냥해 자국 기업의 한국 수출규제 조치를 했다.   권 부회장은 “스가 요시히데 총리 취임으로 냉랭했던 한일관계가 급속히 개선되길 바라는 것은 무리겠지만 한일정상회담 개최는 필요하다”면서 “양국 정상의 만남만으로 개선의 실마리가 마련될 수 있는 만큼, 회담 성사를 위해 적극적으로 노력해 달라”고 말했다. 특히 권 부회장은 최근 한국과 일본 정부가 기업인에 대한 상호 입국제한을 완화하기로 한 것을 환영하면서 “비즈니스 현장에서는 보다 신속한 입국과 자유로운 현지 활동을 희망하고 있는 것을 고려해 달라”고 말했다.이에 대해 도미타 대사는 “수출규제와 관련한 사항을 한일 간 정책 대화로 해결해야 한다는 입장은 변함이 없다”면서도 “대화를 통해 문제 해결을 위한 진전이 나타나고 있었는데 한국이 올여름 세계무역기구(WTO) 분쟁해결 절차에 제소하면서 대화가 중단됐다”고 말했다.  이는 문제의 원인을 한국 측에 돌리는 것으로 해석될 수 있는 발언이다. 한국 정부는 지난해 9월 일본의 한국 수출규제 조치에 반발해 이 건을 WTO에 제소했다가 그해 11월 양국 당국자 간 대화가 재개되면서 절차를 중단했었다. 하지만 이후 일본 측이 대응 조치를 하지 않으면서 올 6월 다시 제소 절차를 진행 중이다.도미타 대사는 “대화가 중단되면서 문제 해결을 위한 다른 논의도 중단된 것은 대단히 불행한 일”이라면서 “이 문제를 대화를 통해 해결할 수 있는 환경을 한국 쪽에서 마련해줬으면 좋겠다는 것이 일본의 입장이고 저의 기대”라고 했다. 한일정상회담 개최와 관련해선 “스가 신임 정권이 우선 과제로 내세우는 디지털화 등 구조개혁은 문재인 대통령이 추진하는 한국판 뉴딜 정책과 상통한다”면서 “(두 정상이 만난다면) 경제협력 분야에서 시너지가 나오지 않을까 생각한다”고 밝혔다.   특히 그는 “(회담이) 다양한 측면에서 추진되기 위해선 양국 정부 차원에서 환경 정비를 할 필요가 있다”며 “작년 이후 어려운 상황에 부닥친 한일관계를 개선하는 노력이 가장 중요하다”고 강조했다. 여기에서 ‘환경 정비’는 일제강점기 강제징용 배상문제로 풀이된다. 도미타 대사는 “특히 한일 양국은 과거 전쟁 시기 한국 노동자와 관련된 문제를 비롯해 다양한 문제를 안고 있다”면서 “이런 문제를 끈기 있게 해결해나가는 것이 경제 관계를 발전시키는 전제조건이 되지 않을까 본다”고 말했다. 사실상 한국 정부가 강제징용 소송에서 패소한 일본 기업의 한국 내 자산이 매각되지 않도록 보장해야 정상회담이 열릴 수 있다는 주장이다. 도미타 대사는 “한일 양국이 제3국에서 함께 성과를 거두는 케이스가 상당하다. 저를 비롯해 대사관 차원에서도 최선을 다해 지원하겠다”고 했지만, 기업인들은 ‘실망스럽다’는 반응이 많았다. 한 참석자는 “좋든 싫든 한일 간 비즈니스는 깊게 얽혀있는데, 경제가 정치에 너무 큰 영향을 받고 있고 당분간 큰 진전도 어려워 보인다”고 우려했다. 이날 간담회에는 효성·풍산·대한항공·롯데건설·한화솔루션·현대차·SK하이닉스·국민은행 등과 법무법인 광장·태평양·율촌·김앤장 등 일본 사업에 관심 있는 기업 20여 곳이 참석했다. ",전경련의 간담회에 참석한 법무법인은 어디야,광장·태평양·율촌·김앤장 등
"[1] 민통선은 생명선…화천 이어 양구서 사향노루 촬영□ 환경부 관계자는 “이번 조사로 민통선이북지역이 생물다양성의 보고이며 멸종위기종의 천국임을 다시 한 번 확인할 수 있었다”고 밝히는 한편 “이번 조사 결과를 토대로 지난 12일 유보된 ‘DMZ 유네스코 생물권보전지역’ 지정을 재추진할 계획“이라고 설명했다.○ 또한, “향후 민통선이북지역 생태계조사뿐만 아니라 DMZ 내부 생태계조사도 지속적으로 추진할 예정”이라고 덧붙였다.",민통선에 사향노루가 촬영되어 환경부 관계자가 무엇을 재추진할 계획이야,‘DMZ 유네스코 생물권보전지역’ 지정
"[1] 19일 공개된 이명박 대통령의 독도 표지석에 대한 논란이 일고 있는 가운데 국기게양대를 디자인한 조각가가 강력히 반발하고 나섰다. 이 조각가는 작품의 일부인 호랑이 조각상을 철거하고 그 자리에 이명박 대통령 표지석을 끼워넣었다고 주장하고 있다. 무명작가라고 소개한 이 조각가는 19일 다음 아고라에 ""대통령에게 바랍니다. 독도 국기게양대 비석을 제외한 제 작품을 철거해주세요""라는 글을 올리고 지지서명을 받고 있다. 이 조각가는 ""지난 2010년 '휴다임' 건축사의 제의를 받고 국기게양대를 디자인했고 경북도가 자신의 작품을 선택한 것으로 알고 있다""고 밝혔다. 그는 이어 ""바닥을 원형 태극문양으로 디자인하고 건곤감리를 배치한 다음 하늘에서 보는 시각과 땅에서 보는 형태를 감안해 태극문양 스테인레스를 입체적으로 변형했고 우리나라 지도의 형상이고 국토를 상징하는 의미로 호랑이를 넣었다""고 설명했다. 이 조각가는 ""중요한 자리에 세울 거라는 생각에 열심히 했는데, 반토막난 작품위에 세워진 비석이 제가 죽은 이후까지 서있어야 한다면 그 고통은 이루 말 할 수 없을 것 같다""고 밝혔다. [IMG1] 이 조각가의 서명청원서에는 지지 글이 줄을 잇고 있다. 20일 오전 8시 현재 572명이 서명을 한 상태다. 누리꾼들은 ""그냥 호랑이도 아니고, 국토를 상징하는 걸 빼버리고 자기 이름을 거기다 떡~하니 박는다는건 예술에 대한 모독""(teresa), ""정말 이 정권에게 교양이나 예술에 대한 존경이라는 것을 요구하는 것은 무리인걸까요?""(이상진) 등의 글이 올라와 있다. 경북도와 울릉군은 이와 관련 ""대통령 표지석 건립을 위해 문화재청에 형상변경신청을 하는 과정에서 호랑이 조각상이 허가받지 않은 것으로 드러나 철거하고 그 자리에 대통령 표지석을 세웠다""며 ""공모가 아니고 건축회사를 통해 제안작품 형태로 작품을 받아 설치했으며 저작권에 대한 귀속여부는 명확하게 규정하지 않았던 것 같다""고 얼버무렸다. 문제의 호랑이상은 한국형 호랑이 실물을 형상화한 것으로 높이 80㎝ 길이 300㎝, 무게 300㎏으로 제작됐다.",조각가는 자신의 작품을 어떻게 설명했나요?,"""바닥을 원형 태극문양으로 디자인하고 건곤감리를 배치한 다음 하늘에서 보는 시각과 땅에서 보는 형태를 감안해 태극문양 스테인레스를 입체적으로 변형했고 우리나라 지도의 형상이고 국토를 상징하는 의미로 호랑이를 넣었다"""
"[1] 또는, 구매 단계에서 포장된 식품의 안전 수준을 사전에 판단 가능하게 하고자 한다.
[2] 소비자 피해를 방지하고자 하였다.
[3] 본 규정의 오인유발행위는 특정 영업자 개인의 이익을 침해하는 혼동초래행위와는 달리 경쟁자 전체에 대한 이미지 및 고객획득 가능성을 훼손시키는 행위임과 동시에 시장의 공정경쟁을 해치는 행위로서 그 일차적 피해자는 일반 소비자이다. 따라서 오인유발행위의 금지는 허위･과대광고를 통한 상품의 판매행위를 규제하여 경쟁자 보호보다는 소비자를 보호하는데 그 목적이 있으며, 오인유발행위를 초래하는 표지 또는 타인의 상품이 주지성을 획득해야 하는 것은 그 요건이 아니다. 소비자 보호를 위한 표시･광고행위에 대하여는 표시･광고의 공정화에 관한 법률에서도 규정하고 있으나, 부정경쟁방지 및 영업비밀보호에 관한 법률은 사법적 규율에 주안점을 둔 반면, 표시･광고의 공정화에 관한 법률은 공법적 규율에 주안점을 두고 있으며, 오인유발행위는 형법에 의한 사기행위에 해당하여 처벌받을 수도 있고, 경범죄처벌법에 의한 허위광고 행위로 처벌받을 수도 있다.
[4] 병과하여 과징금을 부과 받지 않는다는 판매자의 신뢰가 식품으로 인하여 생기는 위생상의 위해를 방지하고자 하는 공익상의 요구에 비해 더 보호가치가 있다고 보기도 어려울 것입니다.
[5] 제9조 국가는 거래 부정 그리고 기준 이하 또는 유해한 제품으로부터 소비자를 보호한다.",어떤 방법으로 상품의 위험을 막는다고 소비자제품안전법에 나와 있어,제조물책임법에 의한 사법상의 보호를 보충
"[1] 중단기의 두 번째 과제로는, 두만강유역 교통‧물류네트워크사업에 대하여 국내민간기업의 진출방안을 모색할 필요가 있다는 점이다. 이 사업이 본격화되면 다양한 건설사업들이 발주되고 국제경쟁이 본격화될 것이므로, 이에 대응하여 국내 민간건설기업들의 효과적인 진출방안을 마련해야 할 것이다. 특히 두만강유역 교통‧물류네트워크 사업은 남·북·중·러 다자간협력사업으로 추진될 가능성이 높기 때문에 국내 공기업과 민간기업의 공동컨소시엄 구성을 통한 사업진출을 고려할 필요가 있다. 중단기의 세 번째 과제로는, 국제운송관련 법·제도적 장벽의 제거를 위해 남·북·중·러가 참여하는 다자간 물류협력위원회의 구성을 추진할 필요가 있다는 점이다. 철도, 도로, 항만 등을 통한 원활한 인적·물적 교류를 위해서는 통관절차의 간소화 등 법·제도적 협의가 반드시 필요하므로, 우리 정부가 주도하고 남·북·중·러 정부가 참여하는 협력위원회의 구성을 선제안할 필요도 있다. ",다자간협력사업으로 추진될 가능성이 높은 게 뭐야,두만강유역 교통‧물류네트워크 사업
"[1] 연구장비 엔지니어의 정의 및 범위2013년 연구장비 전문교육기관 모집 공고문1. 사업개요□ 사업목적○ 연구장비의 운영·관리를 전담할 수 있는 연구장비 엔지니어 양성을 통한 연구 장비의 활용도 및 투자 효율성 제고□ 사업내용○ 전문적인 연구장비 교육역량(연구장비 및 전문가)을 갖춘 전문교육기관을 선정하여 1년간의 집중적이고 체계적인 실습 위주의 교육실시를 통해 현장 맞춤형 연구장비 엔지니어를 양성[연구장비 엔지니어(Equipment Engineer)] 장비에 대하여 소정의 교육을 이수하여 전문적 지식 및 기술을 갖추고 있으며, 장비의 운용을 통해 데이터를 산출할 수 있을 뿐만 아니라 데이터의 해석이 가능한 자로써, 연구자는 아니나 연구개발 활동을 직접적으로 지원하는 업무에 종사하는 자(예시) 대학‧출연(연 등 연구기관의 공동기기실, 장비집적센터 등에 근무하면서 전문 분석지원을 전담으로 수행하는 인력2. 과제선정 및 지원 규모□ 선정규모○ 권역*별 안배를 고려 10개** 연구장비 전문교육기관 선정* 5+2 광역경제권(수도권, 충청권, 호남권, 대경권, 동남권 + 강원권, 제주권)** 2012년 선정된 4개 전문교육기관 외 6개 기관 추가 선정 예정□ 지원규모○ 2013년 총 사업비 23억원 내외(기관 당 2.3억원 내외 지원, 간접비 포함)※ 사업기간 동안 기관 당 20명 이상의 연구장비 엔지니어 양성□ 사업기간○ 총 사업기간 : 2013 ~ 2023년(10년, 2+2+2+2+2)※ 전문교육기관 선정 후 2년마다 단계평가를 실시, 평가결과에 따라 계속지원 여부를 결정※ 사업기간은 및 예산은 사업평가결과와 예산사정 등에 따라 변경될 수 있음○ 당해연도(2013년도) 사업기간 : 2013.8 ～ 2014.7(12개월)",한국 정부는 어떻게 현장 맞춤형 연구장비 엔지니어를 양성하려 하니,전문적인 연구장비 교육역량(연구장비 및 전문가)을 갖춘 전문교육기관을 선정하여 1년간의 집중적이고 체계적인 실습 위주의 교육실시
"[1] 대부분으로, 리스이용자는 공급자에 대해 당연히 하자담보책임을 물을 수 있다고 해석하고 있다. 따라서 공급자는 실제로 리스이용자에 대한 관계에서 賣主로서의 지위에 있다고 보는 것이다(소건영, 2008: 315-317). 이러한 금융리스의 상관행을 받아들여 상법도 ‘금융리스물건의 공급자는 공급계약에서 정한 시기에 그 물건을 금융리스이용자에게 인도하여야 한다. 금융리스물건이 공급계약에서 정한 시기와 내용에 따라 공급되지 아니한 경우 금융리스이용자는 공급자에게 직접 손해배상을 청구하거나 공급계약의 내용에 적합한 금융리스물건의 인도를 청구할 수 있다. 금융리스업자는 금융리스이용자가 위의 권리를 행사하는 데 필요한 협력을 하여야 한다’고 공급자의 의무를 규정하여(상법 제168조의4 제1항~제3항) 리스이용자를 보호하고 있다.
[2] 위험부담에 관한 민법규정은 임의규정이므로 당사자가 내용을 임의로 약정하거나 다른 거래관습이 있으면 그에 의할 수 있다. 이에 금융리스에서는 리스거래구조와 리스계약이 갖는 특성과 본질 등으로 인하여 예외 없이 채무자위험부담주의원칙을 적용하고 있다. 따라서 리스계약이 중도 해지되는 경우에 리스회사가 손해를 담보 받기 위하여, 우리나라는 물론 대부분 국가에서 리스회사와 리스이용자간에 규정손 실금을 약정하고 있다. 한편, 위의 규정손실금과 동일한 금액으로 하여 금융리스에서 리스회사와 공급자간에 리스물건의 재매입특약에서 재매입대금을 약정하는 경우가 있다.
[3] 우리 상법도 ‘금융리스업자는 금융리스이용자가 금융리스계약에서 정한 시기에 금융리스계약에 적합한 금융리스물건을 수령할 수 있도록 하여야 하며’(상법 제168조의3 제1항), ‘리스물건이 공급계약에서 정한 시기와 내용에 따라 공급되지 아니한 경우 리스이용자는 공급자에게 직접 손해배상을 청구하거나 공급계약의 내용에 적합한 리스물건의 인도를 청구할 수 있고, 리스회사는 리스이용자가 위의 권리를 행사하는 데 필요한 협력을 하여야 한다(상법 제168조의4 제2항, 제3항).’고 규정하여 이를 해결하고 있다.
[4] 것이다. 즉, 이러한 경우 리스이용자가 실질적으로 리스물건을 지배 가능한 지위에 있다고 볼 수 있어 리스물건의 위험을 부담하게 되므로 리스료 지급의무가 발생한다. 상법도 이와 같이 금융리스거래에서 관행화된 법리를 받아들여, 금융리스이용자의 책임 있는 사유로 금융리스계약을 해지하는 경우에 금융리스업자는 잔존 금융리스료 상당액의 일시 지급 또는 금융리스물건의 반환을 청구할 수 있다고 규정하고 있다(상법 제168조의5 제1항).
[5] ○ 금융실명거래 업무해설서에 있는 금융회사등 상호간에 업무상 필요한 정보의 범위에 ‘금융회사등간 공동협약에서 정한 사항과 관련된 경우‘가 포함됨. ○ 따라서 수신거래내역 제공은 신보 등 보증기관과 은행 간에 협약을 체결할 경우 가능한 것으로 판단 □ 보증기관은 보증 지원시 기업으로부터 자금사용 계획서와 수신거래내역 정보 제공 동의서를 징구 ○ 은행은 보증부 대출 전용계좌를 개설하고 수신거래내역을 정기적으로 보증기관과 공유 ○ 수신거래내역 제공시에는 과도하게 많은 정보를 제공하기보다는 사용 목적에 필요한 최소한의 범위에서 제공하는 것이 바람직하므로 정보 제공 범위, 제공 주기 등에 대해서는 보증기관과 은행간의 협의를 통해 결정 ○ 보증 지원시 보증부 대출 전용계좌에 입금하고 향후 출금만 가능하도록 하는 방안을 검토할 필요",금융리스업자는 계약상대방이 고른 물건을 어떻게 구한 다음에 이용하도록 제공해,제3자(이하 이 장에서 “공급자”라 한다)로부터 취득하거나 대여 받아
